finnish;english;russian;type;group
Suomi, Suomen;Finland;Финляндия;proper noun;Places
syntymäaika, -ajan;date of birth;дата рождения;noun;Work & Study
sähköposti, -n;email;электронная почта;noun;Media & Technology
sähköpostiosoite, -osoitteen;email address;адрес эл. почты;noun;Work & Study
talo, -n;house;дом;noun;Home
te, teidän;you (plural);вы;pronoun;Grammar
tervetuloa;welcome;добро пожаловать;interjection;Communication
tutustua (1), tutustun;to get acquainted;познакомиться;verb;Family & Relationships
täydentää (1), täydennän;to complete / fill in;дополнять;verb;Work & Study
uusi, uuden;new;новый;adjective;Basics
vaimo, -n;wife;жена;noun;Family & Relationships
vain;only;только;adverb;Basics
vanha, -n;old;старый;adjective;Basics
Venäjä, -n;Russia;Россия;proper noun;Places
venäläinen, venäläisen;Russian;русский;noun/adjective;People
vuosi, vuoden;year;год;noun;Time
vähän;a little;немного;adverb;Basics
Yhdysvallat, Yhdysvaltojen;United States;США;proper noun (plural);Places
ymmärtää (1), ymmärrän;to understand;понимать;verb;Actions & Movement
äidinkieli, -kielen;mother tongue;родной язык;noun;Communication
ajattella (3), ajattelen;to think;думать;verb;Actions & Movement
alkaa (1), alan;to begin;начинать;verb;Actions & Movement
ammatti, ammatin;profession;профессия;noun;Work & Study
anoppi, anopin;mother-in-law;тёща / свекровь;noun;Family & Relationships
appi, apen;father-in-law;тесть / свёкор;noun;Family & Relationships
asiakas, asiakkaan;customer;клиент;noun;Shopping & Services
auto, -n;car;машина;noun;Transport
avioliitto, -liiton;marriage;брак;noun;Family & Relationships
avovaimo, -n;common-law wife;гражданская жена;noun;Family & Relationships
ei mitään;nothing;ничего;phrase (pronoun/quantifier);Basics
eronnut, eronneen;divorced;разведённый;adjective/participle;Family & Relationships
euro, -n;euro;евро;noun;Shopping & Services
haluta (4), haluan;to want;хотеть;verb;Basics
hampurilainen, hampurilaisen;hamburger;гамбургер;noun;Food & Drink
hinnasto, -n;price list;прайс-лист;noun;Shopping & Services
hinta, hinnan;price;цена;noun;Shopping & Services
huomenta;good morning;доброе утро;greeting;Basics
hyvä, -n;good;хороший;adjective;Feelings & Opinions
iloinen, iloisen;happy;радостный;adjective;Feelings & Opinions
insinööri, -n;engineer;инженер;noun;Work & Study
iso, -n;big;большой;adjective;Basics
isoisä, -n;grandfather;дедушка;noun;Family & Relationships
isoäiti, -äidin;grandmother;бабушка;noun;Family & Relationships
isä, -n;father;отец;noun;Family & Relationships
itse;self;сам;pronoun;Basics
kahvi, -n;coffee;кофе;noun;Food & Drink
kahvila, -n;café;кафе;noun;Food & Drink
kakku, kakun;cake;торт;noun;Food & Drink
kampaaja, -n;hairdresser;парикмахер;noun;Shopping & Services
katsoa (1), katson;to look/watch;смотреть;verb;Actions & Movement
keksiä, keksin;to invent;придумывать;verb;Actions & Movement
kello, -n;clock / time;часы;noun;Time
kenen;whose;чей;question word;Grammar
kirja, -n;book;книга;noun;Work & Study
kissa, -n;cat;кошка;noun;Nature
kiva, -n;nice;милый, приятный;adjective;Feelings & Opinions
koira, -n;dog;собака;noun;Nature
kokki, kokin;cook;повар;noun;Work & Study
korvapuusti, -n;cinnamon bun;булочка с корицей;noun;Food & Drink
kotona;at home;дома;adverb;Home
koulu, -n;school;школа;noun;Work & Study
kuinka monta;how many;сколько;question phrase;Grammar
kumppani, -n;partner;партнёр;noun;Family & Relationships
kuukausi, kuukauden;month;месяц;noun;Time
kuva, -n;picture;картинка;noun;Media & Technology
laborantti, laborantin;lab assistant;лаборант;noun;Work & Study
lapsi, lapsen;child;ребёнок;noun;Family & Relationships
lemmikki, lemmikin;pet;домашнее животное;noun;Nature
lääkäri, -n;doctor;врач;noun;Health
maksaa (1), maksan;to pay / cost;платить, стоить;verb;Shopping & Services
mennä (3), menen;to go;идти;verb;Actions & Movement
mielenkiintoinen, mielenkiintoisen;interesting;интересный;adjective;Feelings & Opinions
miksi;why;почему;question word;Grammar
millainen;what kind;какой;question word;Grammar
milloin;when;когда;question word;Grammar
minkälainen, minkälaisen;what kind;какой;question word;Grammar
mitä;what;что;question word;Grammar
muistaa (1), muistan;to remember;помнить;verb;Actions & Movement
mukava, -n;pleasant;приятный;adjective;Feelings & Opinions
musiikinopettaja, -n;music teacher;учитель музыки;noun;Work & Study
muu, -n;other;другой;adjective/pronoun;Basics
myös;also;тоже;adverb;Basics
naimisissa;married;женат / замужем;adverb/adjective (predicative);Family & Relationships
noin;about;примерно;adverb;Basics
nyt;now;сейчас;adverb;Time
odottaa (1), odotan;to wait;ждать;verb;Actions & Movement
oikea, -n;right / correct;правый / правильный;adjective;Basics
oikealla;on the right;справа;adverb;Basics
olla (3) kotoisin, olen kotoisin;to be from;быть родом;verb phrase;People
olut, oluen;beer;пиво;noun;Food & Drink
oma, -n;own;собственный;adjective/pronoun;Basics
ostaa (1), ostan;to buy;покупать;verb;Shopping & Services
pala, -n;piece;кусок;noun;Basics
paljon;much / many;много;adverb/quantifier;Basics
paras, parhaan;best;лучший;adjective (superlative);Feelings & Opinions
perhe, perheen;family;семья;noun;Family & Relationships
perheenjäsen, -jäsenen;family member;член семьи;noun;Family & Relationships
pieni, pienen;small;маленький;adjective;Basics
poika, pojan;boy / son;мальчик / сын;noun;Family & Relationships
sairaanhoitaja, -n;nurse;медсестра;noun;Health
sama, -n;same;тот же;adjective/pronoun;Basics
sentti, sentin;cent;цент;noun;Shopping & Services
sinkku, sinkun;single;холостой;noun;Family & Relationships
sisko, -n;sister;сестра;noun;Family & Relationships
suklaa, -n;chocolate;шоколад;noun;Food & Drink
sukulainen, sukulaisen;relative;родственник;noun;Family & Relationships
taas;again;снова;adverb;Basics
takaisin;back;обратно;adverb;Actions & Movement
talo, -n;house;дом;noun;Home
tee, -n;tea;чай;noun;Food & Drink
tehdä (2), teen;to do / make;делать;verb;Actions & Movement
tietää (1), tiedän;to know;знать;verb;Actions & Movement
toimittaja, -n;journalist;журналист;noun;Work & Study
tyttö, tytön;girl;девочка;noun;Family & Relationships
tyttöystävä, -n;girlfriend;девушка;noun;Family & Relationships
työ, -n;work;работа;noun;Work & Study
tänään;today;сегодня;adverb;Time
täällä;here;здесь;adverb;Basics
töissä;at work;на работе;adverb;Work & Study
valokuva, -n;photograph;фотография;noun;Media & Technology
vanhemmat;parents;родители;noun (plural);Family & Relationships
vasemmalla;on the left;слева;adverb;Basics
vasen, vasemman;left;левый;adjective/noun;Basics
vastata (4), vastaan;to answer;отвечать;verb;Actions & Movement
vauva, -n;baby;младенец;noun;Family & Relationships
veli, veljen;brother;брат;noun;Family & Relationships
vesi, veden;water;вода;noun;Food & Drink
vuoro, -n;shift / turn;смена;noun;Work & Study
yhdessä;together;вместе;adverb;Basics
yksin;alone;один;adverb;Basics
yksinhuoltaja, -n;single parent;родитель-одиночка;noun;Family & Relationships
yläkerta, -kerran;upper floor;верхний этаж;noun;Home
yrittäjä, -n;entrepreneur;предприниматель;noun;Work & Study
ystävä, -n;friend;друг;noun;People
äiti, äidin;mother;мать;noun;Family & Relationships
mä = minä;I;я;pronoun (personal);Grammar
sä = sinä;you;ты;pronoun (personal);Grammar
se = hän;he / she;он / она;pronoun (personal);Grammar
ne = he;they;они;pronoun (personal);Grammar
oon = olen;am;есть;verb (copula, colloquial);Grammar
mun = minun;my;мой;pronoun (possessive, colloquial);Grammar
sun = sinun;your;твой;pronoun (possessive, colloquial);Grammar
sen = hänen;his / her;его / её;pronoun (possessive);Grammar
niiden = heidän;their;их;pronoun (possessive);Grammar
ollaan = olemme;we are;мы;verb (copula, colloquial);Grammar
sinkku = naimaton;single;холостой;adjective/noun (colloquial);Family & Relationships
kiitti = kiitos;thanks;спасибо;interjection (colloquial);Basics
aamu, -n;morning;утро;noun;Time
aamupala, -n;breakfast;завтрак;noun;Food & Drink
aikaisin;early;рано;adverb;Time
aikuinen, aikuisen;adult;взрослый;noun;People
apu, avun;help;помощь;noun;Basics
arkipäivä, -n;weekday;будний день;noun;Time
asia, -n;thing / matter;вещь, дело;noun;Basics
auki;open;открыто;adverb/adjective (predicative);Shopping & Services
aukioloajat, -aikojen;opening hours;часы работы;noun (plural);Shopping & Services
avata (4), avaan;to open;открывать;verb;Actions & Movement
banaani, -n;banana;банан;noun;Food & Drink
bussi, -n;bus;автобус;noun;Transport
ensin;first;сначала;adverb;Time
henkilö, -n;person;человек;noun;People
herätä (4), herään;to wake up;просыпаться;verb;Actions & Movement
hetkinen, hetkisen;moment;секундочку;interjection/noun;Basics
hoitaa (1), hoidan;to take care of;заботиться;verb;Actions & Movement
hyvin;well;хорошо;adverb;Feelings & Opinions
ihminen, ihmisen;human;человек;noun;People
ilta, illan;evening;вечер;noun;Time
istua (1), istun;to sit;сидеть;verb;Actions & Movement
jugurtti, jugurtin;yogurt;йогурт;noun;Food & Drink
juoda (2), juon;to drink;пить;verb;Actions & Movement
jutella (3), juttelen;to chat;болтать;verb;Actions & Movement
jääkiekko, -kiekon;ice hockey;хоккей;noun;Leisure
kampaamo, -n;hair salon;парикмахерская;noun;Shopping & Services
kanssa;with;с;postposition;Grammar
kauppa, kaupan;shop;магазин;noun;Shopping & Services
kaveri, -n;friend;друг;noun;People
keittiö, -n;kitchen;кухня;noun;Home
keittää (1), keitän;to boil;варить;verb;Actions & Movement
keskustelu, -n;discussion;разговор;noun;People
kesä, -n;summer;лето;noun;Time
kielletty, kielletyn;forbidden;запрещённый;adjective/participle;Basics
kiinni;closed;закрыто;adverb/adjective (predicative);Shopping & Services
kiire, kiireen;hurry;спешка;noun;Basics
kioski, -n;kiosk;киоск;noun;Shopping & Services
kirjasto, -n;library;библиотека;noun;Work & Study
koska;because / when;потому что / когда;conjunction;Grammar
koululainen, koululaisen;schoolchild;школьник;noun;People
kuin;than / like;чем / как;conjunction;Grammar
kuollut, kuolleen;dead;мёртвый;adjective/participle;Health
kyltti, kyltin;sign;знак;noun;Media & Technology
kysyä (1), kysyn;to ask;спрашивать;verb;Actions & Movement
käydä (2), käyn + missä;to go (visit);ходить;verb;Actions & Movement
lakimies, -miehen;lawyer;юрист;noun;Work & Study
lastentarhanopettaja, -n;kindergarten teacher;воспитатель;noun;Work & Study
laulaa (1), laulan;to sing;петь;verb;Actions & Movement
lehti, lehden;newspaper;газета;noun;Media & Technology
leikata (1), leikin;to cut;резать;verb;Actions & Movement
leipoa (1), leivon;to bake;печь;verb;Actions & Movement
leipä, leivän;bread;хлеб;noun;Food & Drink
loppu, lopun;end;конец;noun;Time
lounas, lounaan;lunch;обед;noun;Food & Drink
lukea (1), luen;to read;читать;verb;Actions & Movement
lähteä (1), lähden;to leave;уходить;verb;Actions & Movement
maito, maidon;milk;молоко;noun;Food & Drink
makaronilaatikko, -laatikon;macaroni casserole;макаронная запеканка;noun;Food & Drink
matematiikka, matematiikan;mathematics;математика;noun;Work & Study
meikata (4), meikkaan;to put on makeup;краситься;verb;Actions & Movement
musiikki, musiikin;music;музыка;noun;Leisure
mutta;but;но;conjunction;Grammar
myöhään;late;поздно;adverb;Time
nauraa (1), nauran;to laugh;смеяться;verb;Actions & Movement
nousta (3), nousen;to get up;вставать;verb;Actions & Movement
nukkua (1), nukun;to sleep;спать;verb;Actions & Movement
opiskelija, -n;student;студент;noun;Work & Study
ottaa (1), otan;to take;брать;verb;Actions & Movement
ovi, oven;door;дверь;noun;Home
paikoitushalli, -n;parking garage;парковка;noun;Transport
palvella (3), palvelen;to serve;обслуживать;verb;Actions & Movement
pari, -n;couple / pair;пара;noun;People
parkkihalli, -n;parking garage;паркинг;noun;Transport
kylmä, -n;cold;холодный;adjective;Basics
kysyä (1), kysyn;to ask;спрашивать;verb;Actions & Movement
kävellä (3), kävelen;to walk;ходить;verb;Actions & Movement
käyttää (1), käytän;to use;использовать;verb;Actions & Movement
laittaa (1), laitan;to put;класть;verb;Actions & Movement
laktoosi, -n;lactose;лактоза;noun;Food & Drink
leipä, leivän;bread;хлеб;noun;Food & Drink
liha, -n;meat;мясо;noun;Food & Drink
litra, -n;liter;литр;noun;Shopping & Services
lohi, lohen;salmon;лосось;noun;Food & Drink
lopuksi;finally;в конце;adverb;Time
lyhenne, lyhenteen;abbreviation;сокращение;noun;Media & Technology
G + lähellä;near;рядом;postposition;Grammar
lämmin, lämpimän;warm;тёплый;adjective;Basics
makea, -n;sweet;сладкий;adjective;Food & Drink
makkara, -n;sausage;колбаса;noun;Food & Drink
mauste, mausteen;spice;специя;noun;Food & Drink
mehu, -n;juice;сок;noun;Food & Drink
minkä hintainen?;how much does it cost?;какая цена?;question phrase;Grammar
muovi, -n;plastic;пластик;noun;Media & Technology
muovikassi, -n;plastic bag;пластиковый пакет;noun;Shopping & Services
muuttua (1), muutun;to change;меняться;verb;Actions & Movement
myyjä, -n;seller;продавец;noun;People
nauta, naudan;beef;говядина;noun;Food & Drink
omena, -n;apple;яблоко;noun;Food & Drink
ostos, ostoksen;purchase;покупка;noun;Shopping & Services
ostoskori;shopping basket;корзина;noun;Shopping & Services
painaa (1), painan;to weigh / press;весить / нажимать;verb;Actions & Movement
paisti, -n;roast;жаркое;noun;Food & Drink
pakaste, pakasteen;frozen food;замороженный продукт;noun;Food & Drink
pakata (4), pakkaan;to pack;упаковывать;verb;Actions & Movement
paketti, paketin;package;упаковка;noun;Media & Technology
pakkaus, pakkauksen;packaging;упаковка;noun;Media & Technology
pantti, pantin;deposit;залог;noun;Shopping & Services
paprika, -n;bell pepper;болгарский перец;noun;Food & Drink
patukka, patukan;bar;батончик;noun;Food & Drink
perinteinen, perinteisen;traditional;традиционный;adjective;Basics
peruna, -n;potato;картофель;noun;Food & Drink
pippuri, -n;pepper;перец;noun;Food & Drink
pitkä, -n;long;длинный;adjective;Basics
porkkana, -n;carrot;морковь;noun;Food & Drink
pussi, -n;bag;пакет;noun;Shopping & Services
rasia, -n;box;коробка;noun;Media & Technology
rasvaton, rasvattoman;fat-free;обезжиренный;adjective;Food & Drink
riisi, -n;rice;рис;noun;Food & Drink
rulla, -n;roll;рулон;noun;Media & Technology
saada (2), saan;to get;получать;verb;Actions & Movement
salaatti, salaatin;salad;салат;noun;Food & Drink
sauna, -n;sauna;сауна;noun;Leisure
sika;pork;свинина;noun;Food & Drink
sipuli, -n;onion;лук;noun;Food & Drink
sokeri, -n;sugar;сахар;noun;Food & Drink
suola, -n;salt;соль;noun;Food & Drink
suolainen, suolaisen;salty;солёный;adjective;Food & Drink
sämpylä, -n;bread roll;булочка;noun;Food & Drink
tilli, -n;dill;укроп;noun;Food & Drink
tiski, -n;counter;прилавок;noun;Shopping & Services
tomaatti, tomaatin;tomato;помидор;noun;Food & Drink
tonnikala, -n;tuna;тунец;noun;Food & Drink
tumma, -n;dark;тёмный;adjective;Basics
tuo, -n;that;тот;pronoun;Grammar
tuore, tuoreen;fresh;свежий;adjective;Food & Drink
tuoremehu, -n;fresh juice;свежевыжатый сок;noun;Food & Drink
vaalea, -n;light;светлый;adjective;Basics
valkosipuli, -n;garlic;чеснок;noun;Food & Drink
vielä;still;ещё;adverb;Time
vihannes, vihanneksen;vegetable;овощ;noun;Food & Drink
voi, -n;butter;масло;noun;Food & Drink
vuoronumero, -n;queue number;номер очереди;noun;Shopping & Services
limu, -n;soda;газировка;noun;Food & Drink
tää, tän = tämä;this;этот;pronoun (colloquial);Grammar
toi, ton = tuo;that;тот;pronoun (colloquial);Grammar
aihe, aiheen;topic;тема;noun;Basics
alakerta, -kerran;ground floor;нижний этаж;noun;Home
Alko, -n;state liquor store;государственный магазин алкоголя;proper noun;Shopping & Services
antaa (1), annan;to give;давать;verb;Actions & Movement
apteekki, apteekin;pharmacy;аптека;noun;Shopping & Services
asunto, asunnon;apartment;квартира;noun;Home
auttaa (1), autan + P;to help;помогать;verb;Actions & Movement
avain, avaimet;key;ключ;noun;Home
baari, -n;bar;бар;noun;Leisure
elokuva, -n;movie;фильм;noun;Leisure
erilainen, erilaisen;different;разный;adjective;Basics
eteinen, eteisen;hallway;прихожая;noun;Home
farkut, farkkujen;jeans;джинсы;noun (plural);Media & Technology
haarukka, haarukan;fork;вилка;noun;Home
hiukset;hair;волосы;noun (plural);People
huone, huoneen;room;комната;noun;Home
huonekalu, -n;furniture;мебель;noun;Home
ikävä, -n;boring / miss;скучный / тосковать;adjective/verb;Feelings & Opinions
joskus;sometimes;иногда;adverb;Time
juna, -n;train;поезд;noun;Transport
juna-asema, -n;train station;железнодорожная станция;noun;Transport
järvi, järven;lake;озеро;noun;Media & Technology
kaksio, -n;two-room apartment;двухкомнатная квартира;noun;Home
kaukana + mistä;far (from);далеко (от);adverb + postposition;Grammar
kaunis, kauniin;beautiful;красивый;adjective;Feelings & Opinions
kaupunginosa, -n;city district;район города;noun;People
keittiö, -n;kitchen;кухня;noun;Home
keittokomero, -n;kitchenette;кухонный уголок;noun;Home
kellari, -n;basement;подвал;noun;Home
kenkä, kengän;shoe;обувь;noun;Media & Technology
kerros, kerroksen;floor (storey);этаж;noun;Home
keskusta, -n;city center;центр;noun;People
kestää (1), kestän;to last;длиться;verb;Time
kiitos + sta;thanks for;спасибо за;phrase;Basics
kolmio, -n;three-room apartment;трёхкомнатная квартира;noun;Home
korjata (4), korjaan;to repair;чинить;verb;Actions & Movement
kukka, kukan;flower;цветок;noun;Media & Technology
kuppi, kupin;cup;чашка;noun;Home
kutsua (1), kutsun;to invite;приглашать;verb;Actions & Movement
kuuma, -n;hot;горячий;adjective;Basics
kuunnella (3), kuuntelen + P;to listen;слушать;verb;Actions & Movement
kylpyhuone, -huoneen;bathroom;ванная комната;noun;Home
lattia, -n;floor;пол;noun;Home
laukku, laukun;bag;сумка;noun;Media & Technology
loma, -n;vacation;отпуск;noun;Time
lusikka, lusikan;spoon;ложка;noun;Home
lyhyt, lyhyen;short;короткий;adjective;Basics
lähettää (1), lähetän;to send;отправлять;verb;Actions & Movement
lääke, lääkkeen;medicine;лекарство;noun;Health
mainos, mainoksen;advertisement;реклама;noun;Media & Technology
makuuhuone, -huoneen;bedroom;спальня;noun;Home
matka, -n;trip;поездка;noun;Transport
metsä, -n;forest;лес;noun;Media & Technology
mummo, -n;grandma;бабушка;noun;Family & Relationships
myydä (2), myyn;to sell;продавать;verb;Shopping & Services
myöhässä;late;опаздывать;adverb;Time
neliömetri, -n;square meter;квадратный метр;noun;Home
nähdä (1), näen;to see;видеть;verb;Actions & Movement
olohuone, -huoneen;living room;гостиная;noun;Home
omakotitalo, -n;detached house;частный дом;noun;Home
paikka, paikan;place;место;noun;Basics
palvelut;services;услуги;noun (plural);Shopping & Services
paperi, -n;paper;бумага;noun;Media & Technology
parveke, parvekkeen;balcony;балкон;noun;Home
pesukone, -koneen;washing machine;стиральная машина;noun;Home
piha, -n;yard;двор;noun;Home
puoli, puolen;half;половина;noun;Basics
pysäkki, pysäkin;stop;остановка;noun;Transport
pyörä, -n;bicycle;велосипед;noun;Transport
radio, -n;radio;радио;noun;Media & Technology
rikki;broken;сломанный;adjective (predicative);Basics
rivitalo, -n;terraced house;таунхаус;noun;Home
ruma, -n;ugly;некрасивый;adjective;Feelings & Opinions
seinä, -n;wall;стена;noun;Home
siisti, -n;tidy / nice;аккуратный;adjective;Feelings & Opinions
silmälasit;glasses;очки;noun (plural);Media & Technology
suuri, suuren;big;большой;adjective;Basics
sähkö, -n;electricity;электричество;noun;Media & Technology
taivas, taivaan;sky;небо;noun;Media & Technology
taulu, -n;painting / board;картина;noun;Media & Technology
terveiset;greetings;привет;noun (plural);Basics
tie, -n;road;дорога;noun;Transport
tori, -n;market square;рынок;noun;Shopping & Services
tyhjä, -n;empty;пустой;adjective;Basics
tykätä (4), tykkään + mistä;to like;нравиться;verb;Feelings & Opinions
tyyny, -n;pillow;подушка;noun;Home
työkaveri, -n;colleague;коллега;noun;Work & Study
tämä, -n;this;этот;pronoun;Grammar
uida (2), uin;to swim;плавать;verb;Actions & Movement
usein;often;часто;adverb;Time
vaate, vaatteen;clothing;одежда;noun;Media & Technology
vaihtaa (1), vaihdan;to change;менять;verb;Actions & Movement
vastaanottaa (1), -otan;to receive;получать;verb;Actions & Movement
veitsi, veitsen;knife;нож;noun;Home
verho, -n;curtain;занавеска;noun;Home
vieressä;next to;рядом;adverb;Grammar
viikko, viikon;week;неделя;noun;Time
vuokra, -n;rent;аренда;noun;Shopping & Services
vuokrata (4), vuokraan;to rent;арендовать;verb;Shopping & Services
väri, -n;color;цвет;noun;Media & Technology
värikäs, värikkään;colorful;цветной;adjective;Feelings & Opinions
väärä;wrong;неправильный;adjective;Basics
yksinkertainen, -kertaisen;simple;простой;adjective;Basics
yksiö, -n;studio apartment;однокомнатная квартира;noun;Home
ALE, -n;sale;распродажа;noun;Shopping & Services
kaveri, -n;friend;друг;noun;People
kirppari / kirppis;flea market;барахолка;noun;Shopping & Services
läppäri, -n;laptop;ноутбук;noun;Media & Technology
mulla = minulla;I have;у меня;verb phrase (colloquial);Grammar
netti, netin;internet;интернет;noun;Media & Technology
niillä = heillä;they have;у них;verb phrase (colloquial);Grammar
olkkari, -n;living room;гостиная;noun (colloquial);Home
ostari, -n;shopping center;торговый центр;noun (colloquial);Shopping & Services
sillä = hänellä;he/she has;у него / неё;verb phrase (colloquial);Grammar
sulla = sinulla;you have;у тебя;verb phrase (colloquial);Grammar
aikataulu, -n;schedule;расписание;noun;Time
alennus, alennuksen;discount;скидка;noun;Shopping & Services
asema, -n;station;станция;noun;Transport
automaatti, automaatin;machine / ATM;автомат, банкомат;noun;Shopping & Services
bensa, -n;gasoline;бензин;noun;Transport
bändi, -n;band;музыкальная группа;noun;Leisure
edullinen, edullisen;inexpensive;недорогой;adjective;Shopping & Services
eläkeläinen, eläkeläisen;pensioner;пенсионер;noun;People
etelä, -n;south;юг;noun;Basics
hangata (4), hankaan;to rub;тереть;verb;Actions & Movement
harjoitella (3), harjoittelen + P;to practice;тренироваться;verb;Actions & Movement
harvoin;rarely;редко;adverb;Time
helppo, helpon;easy;лёгкий;adjective;Basics
hidas, hitaan;slow;медленный;adjective;Basics
hurja, -n;wild / great;ужасный, классный;adjective;Feelings & Opinions
ilmoittaa (1), ilmoitan;to inform;сообщать;verb;Communication
iltapäivä, -n;afternoon;послеобеденное время;noun;Time
itä, idän;east;восток;noun;Basics
joki, joen;river;река;noun;Nature
joulupukki, -pukin;Santa Claus;Дед Мороз;noun;People
jumppa, jumpan;exercise;гимнастика;noun;Leisure
juna, -n;train;поезд;noun;Transport
junalippu, -lipun;train ticket;билет на поезд;noun;Transport
järjestää (1), järjestän;to arrange;организовывать;verb;Actions & Movement
jäädä (2), jään pois + mistä;to stay / miss;оставаться, пропускать;verb;Actions & Movement
kalenteri, -n;calendar;календарь;noun;Time
kartta, kartan;map;карта;noun;Media & Technology
kaus(i);season;сезон;noun;Time
G + keskellä;in the middle of;посреди;postposition/phrase;Grammar
kiinnostaa (1), minua kiinnostaa;to interest;интересовать;verb;Feelings & Opinions
kokoinen, kokoisen;sized;размером;adjective;Basics
konduktööri, -n;conductor;проводник;noun;People
koski, kosken;rapids;пороги;noun;Nature
kulkea (1), kuljen;to go / travel;идти, передвигаться;verb;Actions & Movement
kulkuneuvo, -n;vehicle;транспорт;noun;Transport
kurssi, -n;course;курс;noun;Work & Study
kylään;to visit;в гости;adverb;Actions & Movement
kyyti, kyydin;ride;поездка;noun;Transport
käytetty, käytetyn;used;использованный;adjective;Shopping & Services
laiva, -n;ship;корабль;noun;Transport
lentokenttä, -kentän;airport;аэропорт;noun;Transport
lentokone, -koneen;airplane;самолёт;noun;Transport
lentää (1), lennän;to fly;летать;verb;Actions & Movement
linna, -n;castle;замок;noun;Places
lippu, lipun;ticket;билет;noun;Transport
lipunmyynti, -myynnin;ticket sales;продажа билетов;noun;Shopping & Services
lähtö, lähdön;departure;отправление;noun;Transport
länsi, lännen;west;запад;noun;Basics
matkakortti, -kortin;travel card;проездной;noun;Transport
matkalaukku, -laukun;suitcase;чемодан;noun;Media & Technology
matkustaja, -n;passenger;пассажир;noun;People
meno, -n;going;отправление;noun;Transport
menopaluu, -n;round trip;туда-обратно;noun;Transport
meri, meren;sea;море;noun;Nature
mäki, mäen;hill;холм;noun;Nature
palata (4), palaan;to return;возвращаться;verb;Actions & Movement
paluu, -n;return;возвращение;noun;Actions & Movement
palvelutalo, -n;service housing;дом с обслуживанием;noun;Home
panna (3), panen;to put;класть;verb;Actions & Movement
passi, -n;passport;паспорт;noun;Work & Study
pelätä (4), pelkään + P;to fear;бояться;verb;Feelings & Opinions
perillä;arrived;на месте;adverb;Actions & Movement
pohjoinen, pohjoisen;north;север;noun;Basics
